,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation
0,981.0,178,19.0,15.9,180.0,15.0,-1.83697019872103e-15,15.0,ILX,74560,2017-03-01,40.15,-89.33,178.0
1,973.0,249,18.8,14.4,182.0,19.0,0.663090437347517,18.98842571336282,ILX,74560,2017-03-01,40.15,-89.33,178.0
2,936.0,584,16.4,13.6,194.0,39.0,9.434953928387033,37.841533324763866,ILX,74560,2017-03-01,40.15,-89.33,178.0
3,933.2,610,16.3,13.5,195.0,41.0,10.611580849203353,39.6029588778518,ILX,74560,2017-03-01,40.15,-89.33,178.0
4,925.0,686,16.0,13.1,200.0,43.0,14.706866163003752,40.406782693794064,ILX,74560,2017-03-01,40.15,-89.33,178.0
5,900.5,914,15.0,11.5,215.0,47.0,26.95809250849917,38.50014608158261,ILX,74560,2017-03-01,40.15,-89.33,178.0
6,874.0,1167,13.8,9.8,240.0,50.0,43.301270189221924,25.00000000000002,ILX,74560,2017-03-01,40.15,-89.33,178.0
7,868.6,1219,13.7,8.9,245.0,51.0,46.22169713886916,21.553531348775657,ILX,74560,2017-03-01,40.15,-89.33,178.0
8,859.0,1313,13.4,7.4,245.0,52.0,47.128004925905806,21.976149610516355,ILX,74560,2017-03-01,40.15,-89.33,178.0
9,850.0,1402,13.4,2.4,245.0,52.0,47.128004925905806,21.976149610516355,ILX,74560,2017-03-01,40.15,-89.33,178.0
10,832.0,1582,13.0,-2.0,245.0,54.0,48.94062049997911,22.821386133997756,ILX,74560,2017-03-01,40.15,-89.33,178.0
11,807.6,1829,10.8,-3.1,245.0,57.0,51.65954386108906,24.08924091921985,ILX,74560,2017-03-01,40.15,-89.33,178.0
12,778.5,2134,8.0,-4.5,250.0,64.0,60.14032773029814,21.889289172842787,ILX,74560,2017-03-01,40.15,-89.33,178.0
13,768.0,2247,7.0,-5.0,250.0,63.0,59.200635109512234,21.547269029517118,ILX,74560,2017-03-01,40.15,-89.33,178.0
14,750.1,2438,5.2,-5.4,250.0,61.0,57.321249867940416,20.863228742865783,ILX,74560,2017-03-01,40.15,-89.33,178.0
15,722.5,2743,2.3,-6.1,250.0,62.0,58.26094248872632,21.20524888619145,ILX,74560,2017-03-01,40.15,-89.33,178.0
16,705.0,2942,0.4,-6.6,254.0,62.0,59.59822514817578,17.08951606065393,ILX,74560,2017-03-01,40.15,-89.33,178.0
17,700.0,2999,0.2,-6.8,255.0,62.0,59.88740122992223,16.04678079635628,ILX,74560,2017-03-01,40.15,-89.33,178.0
18,695.7,3048,0.0,-7.0,255.0,63.0,60.853327056211306,16.3055998414588,ILX,74560,2017-03-01,40.15,-89.33,178.0
19,680.0,3231,-0.7,-7.7,251.0,63.0,59.56767026275696,20.51079373080087,ILX,74560,2017-03-01,40.15,-89.33,178.0
