,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation
67,100.0,16550,-61.5,-76.5,215.0,23.0,13.192258036074062,18.84049701864681,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
68,89.4,17242,-63.5,-77.5,197.0,14.0,4.093203866118315,13.388266583482496,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
69,84.6,17582,-61.7,-76.7,188.0,10.0,1.3917310096006552,9.902680687415703,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
70,80.0,17926,-64.7,-78.7,179.0,6.0,-0.10471443862370064,5.999086170938348,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
71,77.2,18144,-63.9,-77.9,174.0,3.0,-0.3135853898029612,2.9835656861048196,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
72,75.4,18288,-64.6,-78.3,170.0,1.0,-0.17364817766693028,0.984807753012208,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
73,70.0,18740,-66.7,-79.7,130.0,3.0,-2.298133329356934,1.9283628290596182,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
74,67.5,18960,-67.1,-80.1,123.0,8.0,-6.709364543563392,4.357112280120217,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
75,64.9,19202,-64.1,-78.1,115.0,13.0,-11.78200123147645,5.4940374026290915,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
76,64.9,19200,-64.1,-78.1,115.0,13.0,-11.78200123147645,5.4940374026290915,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
77,61.7,19510,-64.7,-78.7,118.0,15.0,-13.244213892883904,7.0420734417883635,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
78,58.3,19860,-61.5,-77.5,122.0,17.0,-14.416817634659242,9.008627491964482,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
79,56.0,20117,-60.6,-77.1,125.0,18.0,-14.74473679720185,10.32437585431883,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
